,"q (alpha=1.8, T=1.8e+1, from s_i and s_j)","q (alpha=0.2, T=6.0e-3, from s_i and s_j)","q (alpha=0.2, T=2.0e-3, from s_i and s_j)","q (alpha=0.2, T=6.0e-4, from s_i and s_j)"
153,0.49997572619792224,0.22886805648720934,0.4022621777805236,0.690506466584825
154,0.48845148510346,0.28545128652990526,0.39846639171045306,0.6935958971723201
155,0.5191237435500116,0.22513109525412836,0.4503127568891333,0.678072344000554
156,0.4956137334212201,0.30973553849310426,0.4524473202736365,0.6770157222756541
157,0.5372355039216836,0.24407209046240247,0.37310975361302806,0.6312239719436973
158,0.5285010567373525,0.23954876409532763,0.44147626207007806,0.6531917337492832
159,0.5697403005172996,0.25191169910499556,0.40819188517372185,0.6837023957598871
160,0.5506512453897324,0.2682560987234183,0.43181848202690926,0.6674782949909857
161,0.5304252521238223,0.24552701270070632,0.409817405321889,0.639984898165742
162,0.5648521637623212,0.27773373905543747,0.4117317328643438,0.6900099487308685
163,0.5692030045947665,0.24415304250993736,0.41625631731164064,0.6741683941822024
164,0.5697169684067231,0.2405590855372806,0.401244006944466,0.6481851064403924
165,0.5567890342924886,0.2468164450107878,0.40103016280749104,0.6728774863519341
